DFS ID,Name,Pos,Order,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,1B,2B,3B,HR,SB,CS,R,RBI,K,BB,PA,H,ER,IP,W,QS,CG,CGSO,Pitches
42659360,Freddy Fermin,C,8,SD,SEA,DTD,2500,0,5.44,,5.44,2.176,7.61,5.927997787380166,0,100,4.2266,8.761,5.44164,2,5,8,10,16,22,6.96886,3,6,9.5,12.9,21.2,28.9,5.27028,1.9,4.5,7.8,9.7,15.1,21.3,5.5994,1,4.5,8.5,11,17,25.5,5.22633,6.9081,5.06428,6.06115,0.65008,0.18664,0.00304,0.02716,0.0622,0.01156,0.35952,0.34696,0.71888,0.26916,3.76876,0.86692,0,0,0,0,0,0,0
42659489,Juan Mejia,P,,COL,HOU,,4000,0,5.35,,5.35,1.3375,6.07,4.880820172440076,0,100,3.9422,9.2414,5.35346,0.9,5.9,10.15,12.3,15.65,19,10.9045,5,12,17,20,24,29,6.12909,1.4,6.5,11.4,14.2,17.4,21.3,8.72977,2.5,9.5,15.5,18.5,23,28,6.75118,8.82787,7.59156,9.41039,1.7678,0.609933,0.0251333,0.458867,0,0,1.80453,0,2.52453,1.4878,12.4533,2.8617333,1.66567,2.77398,0.001,0,0,0,49.7075
42659468,Steven Okert,P,,HOU,COL,,4000,0,5.24,,5.24,1.31,5.66,4.464833901730283,0,100,5.2992,9.2414,5.24371,0.6,5.2,8.65,10.55,13.3,15.9,8.83233,3,9,14,16,21,24,1.60743,0,1.1,4.2,6,8.245,11.1,8.00453,1.5,8.5,13,16,20,23.5,5.05829,7.09457,4.23503,7.23919,0.693667,0.2248,0.005,0.1188,0,0,0.504,0,1.71687,0.613333,5.75087,1.042267,0.464133,0,0.148,0,0,0,23.3161
42659462,Enyel De Los Santos,P,,HOU,COL,,4000,0,4.03,,4.03,1.0075,1.11,0.5808825023626271,0,100,5.2992,9.2414,4.02803,0,3.3,7.9,9.9,12.405,15.3,7.0172,0,7,12,15,19,24,0.779833,-0.7,0,3.1,5.1,7.3,10.2,6.21903,0,5.5,11.5,14.5,18.5,23,4.96905,7.04408,4.09553,7.1291,0.6144,0.2412,0.0326,0.156467,0,0,0.5644,0,1.37533,0.551667,5.2048,1.0446669999999998,0.521067,0,0.127,0,0,0,21.0047
42659455,Bryan King,P,,HOU,COL,,4000,0,3.7,,3.7,0.925,0.92,0.4593771143466219,0,100,5.2992,9.2414,3.70269,0,3.2,6.55,8.55,11.25,13.9,6.3708,0,6,11,13,17,21,0.714073,-0.7,0,2.2,4.2,6.2,9.102,5.67877,0,5.5,10,12.5,16,20.5,4.35218,6.18369,3.55781,6.23698,0.645533,0.1874,0.00666667,0.0883333,0,0,0.414267,0,1.22993,0.456133,4.73273,0.9279329700000001,0.3822,0,0.0660667,0,0,0,18.7074
42659451,Kai-Wei Teng,P,,HOU,COL,,4000,0,3.6,,3.6,0.9,0.82,0.3978339910614087,0,100,5.2992,9.2414,3.59693,0,2.55,7.2,9.3,12.55,15.25,6.261,0,5,12,15,19,23,0.741807,0,0,3.1,5.1,7.335,10.2,5.55497,0,4,11,14,18.5,22,4.85559,7.04198,3.82669,7.01767,0.578533,0.197933,0.0266,0.113667,0,0,0.473,0,1.19073,0.495333,4.575,0.9167329999999999,0.436133,0,0.125867,0,0,0,18.2419
42659465,Jason Adam,P,,SD,SEA,,4000,0,3.06,,3.06,0.765,0.98,0.4971267877218248,0,100,4.2266,8.761,3.06219,0,2.25,5.9,7.9,10.55,13.7515,5.36224,0,4,10,12,16,21,0.448988,0,0,2.2,3.3,6,9.1,4.7283,0,3.5,9,11.5,15.5,20,4.18871,6.03076,3.36949,6.02579,0.52944,0.14904,0.00848,0.09396,0,0,0.39676,0,1.08084,0.48696,4.15884,0.7809200000000001,0.3674,0,0.0408,0,0,0,17.1612
42659479,David Morgan,P,,SD,SEA,,4000,0,2.87,,2.87,0.7175,0.54,0.23600802519472966,0,100,4.2266,8.761,2.87435,0,1.95,5.9,7.9,10.55,13.9,5.36112,0,5,10,12,16,21,-0.092388,-1.6,0,2,3.1,6,9.1,4.54846,0,4,8.5,11.5,15.525,20.5,4.3745,6.17826,3.68483,6.25045,0.64624,0.18892,0.01004,0.12224,0,0,0.54284,0,1.06616,0.65788,4.82652,0.9674400000000001,0.50288,0,0.06096,0,0,0,19.2175
42659491,Bryan Abreu,P,,HOU,COL,,4000,0,2.57,,2.57,0.6425,0.1,0.0286704540690728,0,100,5.2992,9.2414,2.57003,0,0,4.25,6.75,11.9,17.7,4.19153,0,0,7,11,19,28,1.05192,0,0,2,4,7.1,11.3,5.46327,0,3.5,9.5,12.575,19.5,27,4.32893,6.62587,2.95061,6.92895,0.2548,0.0906,0.011,0.0521333,0,0,0.1798,0,0.7966,0.212,2.35667,0.40853330000000004,0.164867,0,0.0867333,0,0,0,9.56833
42659458,Eduard Bazardo,P,,SEA,SD,,4000,0,2.36,,2.36,0.59,0.53,0.23055758166733564,0,100,4.5344,8.761,2.35663,0,1.175,5.15,6.55,9.9,13.25,4.37472,0,3,8,11,15,19,-0.252508,-0.9,0,1.1,2.2,5.1,8,3.70386,0,2,7.5,10,14.5,19,4.01535,5.70823,3.32943,5.73713,0.61892,0.16364,0.01592,0.0994,0,0,0.45724,0,0.79196,0.44384,4.19244,0.8978800000000001,0.42164,0,0.0536,0,0,0,16.3568
42659469,Gabe Speier,P,,SEA,SD,,4000,0,2.24,,2.24,0.56,0.1,0.0286704540690728,0,100,4.5344,8.761,2.23953,0,0,4.55,6.55,9.9,13.25,4.0242,0,1,8,11,15,20,0.248324,0,0,1.3,2.4,5.1,8.2,3.49958,0,0.5,7,10,14.5,19.005,3.84127,5.64072,3.03036,5.56333,0.44408,0.1372,0.0152,0.0552,0,0,0.3274,0,0.82832,0.39756,3.21792,0.65168,0.30024,0,0.03412,0,0,0,12.8275
42659453,Wandy Peralta,P,,SD,SEA,,4000,0,2.24,,2.24,0.56,0.25,0.09012796847660318,0,100,4.2266,8.761,2.24022,0,0,4.55,6.55,9.9,13.25,4.19436,0,1,8,11,15,20,-0.175388,-0.7,0,1.1,2.2,5.1,8.2,3.5435,0,0.5,7,10,14.5,19,4.05742,5.86233,3.28979,5.83093,0.54396,0.149,0.00776,0.08396,0,0,0.42604,0,0.79968,0.51704,3.91092,0.78468,0.3924,0,0.0454,0,0,0,14.897
42659476,Victor Vodnik,P,,COL,HOU,,4000,0,1.7,,1.7,0.425,0.7,0.32644282021390697,0,100,3.9422,9.2414,1.69674,0,0,3.5,5.5,8.55,11.9,3.26353,0,1,6,9,14,18,-0.219427,-0.7,0,0.2,2,4.2,7.102,2.71733,0,0,5.5,8.5,13,17.5,3.66547,5.27606,3.07542,5.26347,0.426267,0.1352,0.0068,0.0977333,0,0,0.401067,0,0.693667,0.4264,3.1494,0.6660003,0.368867,0,0.0285333,0,0,0,13.15
42659475,Bradgley Rodriguez,P,,SD,SEA,,4000,0,1.69,,1.69,0.4225,0.02,0.003834617639592848,0,100,4.2266,8.761,1.68833,0,0,3.2,5.9,9.25,12.55,3.15948,0,0,7,10,15,19,-0.137844,0,0,0,1.3,5.1,8,2.6693,0,0,5.5,8.5,14,18.5,3.68693,5.47513,2.85693,5.34718,0.41076,0.1272,0.00648,0.0802,0,0,0.34344,0,0.60312,0.35572,2.96124,0.6246400000000001,0.31792,0,0.04352,0,0,0,11.6802
42659478,Mason Miller,P,,SD,SEA,,4000,0,1.25,,1.25,0.3125,0.01,0.0016122581135011433,0,100,4.2266,8.761,1.25264,0,0,1.5,3.65,8.25,13.0015,2.26584,0,0,3,6,13,21,0.187648,0,0,0,1.3,4.2,8,3.4184,0,0,6,9.5,14.5,21,3.14402,4.82673,2.41061,5.47701,0.2066,0.063,0.003,0.0472,0,0,0.19024,0,0.43304,0.27428,1.73604,0.31980000000000003,0.17532,0,0.05172,0,0,0,6.99076
42659409,Cooper Criswell,P,,SEA,SD,,7700,0,1.07,,1.07,0.13896103896103895,1.39,0.7694901615736669,0,100,4.5344,8.761,1.06552,0,0,0.55,3.95,7.9,11.3,2.11528,0,0,3,7,12,18,-0.412056,0,0,0,0,3.1,6.2,1.71356,0,0,1,6.5,11.5,17,3.10389,4.59377,2.54083,4.48102,0.40152,0.10376,0.01104,0.07032,0,0,0.29748,0,0.36444,0.2168,2.39964,0.58664,0.27404,0,0.03256,0,0,0,8.91992
42659457,Zach Agnos,P,,COL,HOU,,4000,0,1.02,,1.02,0.255,0.37,0.14712508482190673,0,100,3.9422,9.2414,1.01511,0,0,2.3,3.95,7.15,10.65,2.20353,0,0,4,7,11,17,-0.661647,-0.9,0,0,1.1,3.1,6.2,1.6981,0,0,4,6,10.5,16,3.24876,4.55349,2.96888,4.61056,0.409133,0.141333,0.00793333,0.107867,0,0,0.411333,0,0.451467,0.3446,2.78153,0.66626633,0.379,0,0.0258,0,0,0,10.8303
42659472,Jimmy Herget,P,,COL,HOU,,4000,0,0.84,,0.84,0.21,0.3,0.11319731861956425,0,100,3.9422,9.2414,0.83846,0,0,1.05,3.2,6.55,9.9,1.73747,0,0,2,6,11,15,-0.41766,0,0,0,0.2,2.2,6,1.37477,0,0,2,5,10,14.5,2.81705,4.07058,2.47957,4.0329,0.316133,0.107533,0.00566667,0.0715333,0,0,0.284467,0,0.358067,0.224533,2.0672,0.50086597,0.263133,0,0.0113333,0,0,0,7.83113
42659456,Andres Munoz,P,,SEA,SD,,4000,0,0.79,,0.79,0.1975,0.04,0.00912030916063751,0,100,4.5344,8.761,0.787054,0,0,0,2.165,5.65,11.75,1.38104,0,0,0,4,9,18,0.111316,0,0,0,0,2.2,6.4,2.97306,0,0,6,8,14,22.5,2.4672,3.75938,1.76579,5.32104,0.14648,0.03724,0.00444,0.02632,0,0,0.10048,0,0.2542,0.11508,1.07348,0.21448,0.09176,0,0.02076,0,0,0,4.27652
